sample_id,region_id,state,district,date,latitude,longitude,rainfall_24h_mm,rainfall_3d_mm,rainfall_7d_mm,rainfall_14d_mm,rainfall_ratio_24h_to_7d,rainfall_acceleration,soil_wetness_index,temperature_c,neighbor_risk_mean,neighbor_count,elevation_m,slope_deg,ndvi,vegetation_vulnerability,terrain_rainfall_interaction,soil_rainfall_interaction,hazard_score,label,label_source
IN-ALA-ALAPPUZHA__2026-04-01,IN-ALA-ALAPPUZHA,Kerala,Alappuzha,2026-04-01,9.4981,76.3388,12.0,12.0,12.0,12.0,1.0,12.0,0.007113218731475993,30,0.24,2,8,7,0.63,0.0026318909306461175,84.0,0.08535862477771192,0.05628239899841969,0,proxy
IN-ALA-ALAPPUZHA__2026-04-02,IN-ALA-ALAPPUZHA,Kerala,Alappuzha,2026-04-02,9.4981,76.3388,15.0,27.0,27.0,27.0,0.5555555555555556,3.0,0.016004742145820983,30,0.24,2,8,7,0.63,0.005921754593953763,105.0,0.43212803793716653,0.062317015741421435,0,proxy
IN-ALA-ALAPPUZHA__2026-04-03,IN-ALA-ALAPPUZHA,Kerala,Alappuzha,2026-04-03,9.4981,76.3388,18.0,45.0,45.0,45.0,0.4,3.0,0.026674570243034972,30,0.24,2,8,7,0.63,0.00986959098992294,126.0,1.2003556609365738,0.07364391792855511,0,proxy
IN-ALA-ALAPPUZHA__2026-04-04,IN-ALA-ALAPPUZHA,Kerala,Alappuzha,2026-04-04,9.4981,76.3388,21.0,54.0,66.0,66.0,0.3181818181818182,3.0,0.03912270302311796,30,0.24,2,8,7,0.63,0.014475400118553645,147.0,2.5820983995257856,0.08300457016123179,0,proxy
IN-ALA-ALAPPUZHA__2026-04-05,IN-ALA-ALAPPUZHA,Kerala,Alappuzha,2026-04-05,9.4981,76.3388,24.0,63.0,90.0,90.0,0.26666666666666666,3.0,0.053349140486069944,30,0.24,2,8,7,0.63,0.01973918197984588,168.0,4.801422643746295,0.09298270449686775,0,proxy
IN-ALA-ALAPPUZHA__2026-04-06,IN-ALA-ALAPPUZHA,Kerala,Alappuzha,2026-04-06,9.4981,76.3388,27.0,72.0,117.0,117.0,0.23076923076923078,3.0,0.06935388263189093,30,0.24,2,8,7,0.63,0.025660936573799645,189.0,8.114404267931238,0.10357832093546303,0,proxy
IN-ALA-ALAPPUZHA__2026-04-07,IN-ALA-ALAPPUZHA,Kerala,Alappuzha,2026-04-07,9.4981,76.3388,30.0,81.0,147.0,147.0,0.20408163265306123,3.0,0.08713692946058091,30,0.24,2,8,7,0.63,0.03224066390041493,210.0,12.809128630705393,0.11479141947701754,0,proxy
IN-ALA-ALAPPUZHA__2026-04-08,IN-ALA-ALAPPUZHA,Kerala,Alappuzha,2026-04-08,9.4981,76.3388,33.0,90.0,168.0,180.0,0.19642857142857142,3.0,0.10669828097213989,30,0.24,2,8,7,0.63,0.03947836395969176,231.0,17.925311203319502,0.1251450770446083,0,proxy
IN-ALA-ALAPPUZHA__2026-04-09,IN-ALA-ALAPPUZHA,Kerala,Alappuzha,2026-04-09,9.4981,76.3388,36.0,99.0,189.0,216.0,0.19047619047619047,3.0,0.12803793716656786,30,0.24,2,8,7,0.63,0.04737403675163011,252.0,24.199170124481327,0.13574698594592757,0,proxy
IN-ALA-ALAPPUZHA__2026-04-10,IN-ALA-ALAPPUZHA,Kerala,Alappuzha,2026-04-10,9.4981,76.3388,39.0,108.0,210.0,255.0,0.18571428571428572,3.0,0.15115589804386484,30,0.24,2,8,7,0.63,0.05592768227622999,273.0,31.742738589211616,0.14659714618097536,0,proxy
IN-ALM-ALMORA__2026-04-01,IN-ALM-ALMORA,Uttarakhand,Almora,2026-04-01,29.5892,79.6467,25.0,25.0,25.0,25.0,1.0,25.0,0.014819205690574985,16,0.4,3,1638,24,0.5,0.007409602845287492,600.0,0.3704801422643746,0.17039468195701826,0,proxy
IN-ALM-ALMORA__2026-04-02,IN-ALM-ALMORA,Uttarakhand,Almora,2026-04-02,29.5892,79.6467,30.0,55.0,55.0,55.0,0.5454545454545454,5.0,0.03260225251926497,16,0.4,3,1638,24,0.5,0.016301126259632485,720.0,1.7931238885595733,0.18098321968473968,0,proxy
IN-ALM-ALMORA__2026-04-03,IN-ALM-ALMORA,Uttarakhand,Almora,2026-04-03,29.5892,79.6467,35.0,90.0,90.0,90.0,0.3888888888888889,5.0,0.053349140486069944,16,0.4,3,1638,24,0.5,0.026674570243034972,840.0,4.801422643746295,0.202541701168314,0,proxy
IN-ALM-ALMORA__2026-04-04,IN-ALM-ALMORA,Uttarakhand,Almora,2026-04-04,29.5892,79.6467,40.0,105.0,130.0,130.0,0.3076923076923077,5.0,0.07705986959098993,16,0.4,3,1638,24,0.5,0.03852993479549496,960.0,10.01778304682869,0.21941851664373174,0,proxy
IN-ALM-ALMORA__2026-04-05,IN-ALM-ALMORA,Uttarakhand,Almora,2026-04-05,29.5892,79.6467,45.0,120.0,175.0,175.0,0.2571428571428571,5.0,0.1037344398340249,16,0.4,3,1638,24,0.5,0.05186721991701245,1080.0,18.153526970954356,0.23735529290525142,0,proxy
IN-ALM-ALMORA__2026-04-06,IN-ALM-ALMORA,Uttarakhand,Almora,2026-04-06,29.5892,79.6467,50.0,135.0,225.0,225.0,0.2222222222222222,5.0,0.13337285121517486,16,0.4,3,1638,24,0.5,0.06668642560758743,1200.0,30.008891523414345,0.256352029952873,0,proxy
IN-ALM-ALMORA__2026-04-07,IN-ALM-ALMORA,Uttarakhand,Almora,2026-04-07,29.5892,79.6467,55.0,150.0,280.0,280.0,0.19642857142857142,5.0,0.16597510373443983,16,0.4,3,1638,24,0.5,0.08298755186721991,1320.0,46.47302904564315,0.2764087277865963,0,proxy
IN-ALM-ALMORA__2026-04-08,IN-ALM-ALMORA,Uttarakhand,Almora,2026-04-08,29.5892,79.6467,60.0,165.0,315.0,340.0,0.19047619047619047,5.0,0.2015411973918198,16,0.4,3,1638,24,0.5,0.1007705986959099,1440.0,63.48547717842324,0.29444846332949853,0,proxy
IN-ALM-ALMORA__2026-04-09,IN-ALM-ALMORA,Uttarakhand,Almora,2026-04-09,29.5892,79.6467,65.0,180.0,350.0,405.0,0.18571428571428572,5.0,0.24007113218731477,16,0.4,3,1638,24,0.5,0.12003556609365738,1560.0,84.02489626556017,0.31293277504311795,0,proxy
IN-ALM-ALMORA__2026-04-10,IN-ALM-ALMORA,Uttarakhand,Almora,2026-04-10,29.5892,79.6467,70.0,195.0,385.0,475.0,0.18181818181818182,5.0,0.2815649081209247,16,0.4,3,1638,24,0.5,0.14078245406046236,1680.0,108.40248962655602,0.3318616629274546,0,proxy
IN-BAG-BAGESHWAR__2026-04-01,IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,2026-04-01,29.8374,79.7714,42.0,42.0,42.0,42.0,1.0,42.0,0.024896265560165973,17,0.46,4,1004,27,0.46,0.013443983402489626,1134.0,1.0456431535269708,0.20267081772708456,0,proxy
IN-BAG-BAGESHWAR__2026-04-02,IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,2026-04-02,29.8374,79.7714,48.0,90.0,90.0,90.0,0.5333333333333333,6.0,0.053349140486069944,17,0.46,4,1004,27,0.46,0.028808535862477773,1296.0,4.801422643746295,0.21637224840060074,0,proxy
IN-BAG-BAGESHWAR__2026-04-03,IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,2026-04-03,29.8374,79.7714,58.0,148.0,148.0,148.0,0.3918918918918919,10.0,0.0877296976882039,17,0.46,4,1004,27,0.46,0.047374036751630114,1566.0,12.983995257854177,0.255305262441834,0,proxy
IN-BAG-BAGESHWAR__2026-04-04,IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,2026-04-04,29.8374,79.7714,64.0,170.0,212.0,212.0,0.3018867924528302,6.0,0.12566686425607587,17,0.46,4,1004,27,0.46,0.06786010669828098,1728.0,26.641375222288083,0.2785241245654929,0,proxy
IN-BAG-BAGESHWAR__2026-04-05,IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,2026-04-05,29.8374,79.7714,70.0,192.0,282.0,282.0,0.24822695035460993,6.0,0.16716064018968582,17,0.46,4,1004,27,0.46,0.09026674570243035,1890.0,47.1393005334914,0.30472123603668166,0,proxy
IN-BAG-BAGESHWAR__2026-04-06,IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,2026-04-06,29.8374,79.7714,76.0,210.0,358.0,358.0,0.2122905027932961,6.0,0.21221102548903378,17,0.46,4,1004,27,0.46,0.11459395376407826,2052.0,75.9715471250741,0.3310533562423114,0,proxy
IN-BAG-BAGESHWAR__2026-04-07,IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,2026-04-07,29.8374,79.7714,82.0,228.0,440.0,440.0,0.18636363636363637,6.0,0.26081802015411976,17,0.46,4,1004,27,0.46,0.1408417308832247,2214.0,114.75992886781269,0.35866881054123373,0,proxy
IN-BAG-BAGESHWAR__2026-04-08,IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,2026-04-08,29.8374,79.7714,88.0,246.0,486.0,528.0,0.18106995884773663,6.0,0.3129816241849437,17,0.46,4,1004,27,0.46,0.1690100770598696,2376.0,152.10906935388263,0.38239836816421785,0,proxy
IN-BAG-BAGESHWAR__2026-04-09,IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,2026-04-09,29.8374,79.7714,94.0,264.0,532.0,622.0,0.17669172932330826,6.0,0.36870183758150565,17,0.46,4,1004,27,0.46,0.19909899229401307,2538.0,196.149377593361,0.40667279834203307,1,proxy
IN-BAG-BAGESHWAR__2026-04-10,IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,2026-04-10,29.8374,79.7714,100.0,282.0,574.0,722.0,0.17421602787456447,6.0,0.42797866034380555,17,0.46,4,1004,27,0.46,0.231108476585655,2700.0,245.6597510373444,0.4309997933823716,1,proxy
IN-CHA-CHAMOLI__2026-04-01,IN-CHA-CHAMOLI,Uttarakhand,Chamoli,2026-04-01,30.42,79.32,91.0,91.0,91.0,91.0,1.0,91.0,0.05394190871369295,17,0.66,5,1820,41,0.35,0.035062240663900415,3731.0,4.908713692946058,0.35859916832522376,0,proxy
IN-CHA-CHAMOLI__2026-04-02,IN-CHA-CHAMOLI,Uttarakhand,Chamoli,2026-04-02,30.42,79.32,101.0,192.0,192.0,192.0,0.5260416666666666,10.0,0.11381149970361588,17,0.66,5,1820,41,0.35,0.07397747480735033,4141.0,21.85180794309425,0.38358381089087834,1,proxy
IN-CHA-CHAMOLI__2026-04-03,IN-CHA-CHAMOLI,Uttarakhand,Chamoli,2026-04-03,30.42,79.32,111.0,303.0,303.0,303.0,0.36633663366336633,10.0,0.17960877296976882,17,0.66,5,1820,41,0.35,0.11674570243034973,4551.0,54.421458209839955,0.44795235451148574,1,proxy
IN-CHA-CHAMOLI__2026-04-04,IN-CHA-CHAMOLI,Uttarakhand,Chamoli,2026-04-04,30.42,79.32,121.0,333.0,424.0,424.0,0.28537735849056606,10.0,0.25133372851215174,17,0.66,5,1820,41,0.35,0.16336692353289864,4961.0,106.56550088915233,0.49125836337486517,1,proxy
IN-CHA-CHAMOLI__2026-04-05,IN-CHA-CHAMOLI,Uttarakhand,Chamoli,2026-04-05,30.42,79.32,131.0,363.0,555.0,555.0,0.23603603603603604,10.0,0.32898636633076467,17,0.66,5,1820,41,0.35,0.21384113811499705,5371.0,182.5874333135744,0.5367554259977632,1,proxy
IN-CHA-CHAMOLI__2026-04-06,IN-CHA-CHAMOLI,Uttarakhand,Chamoli,2026-04-06,30.42,79.32,141.0,393.0,696.0,696.0,0.2025862068965517,10.0,0.41256668642560756,17,0.66,5,1820,41,0.35,0.2681683461766449,5781.0,287.1464137522229,0.5844435423801796,1,proxy
IN-CHA-CHAMOLI__2026-04-07,IN-CHA-CHAMOLI,Uttarakhand,Chamoli,2026-04-07,30.42,79.32,154.0,426.0,850.0,850.0,0.1811764705882353,13.0,0.5038529934795495,17,0.66,5,1820,41,0.35,0.3275044457617072,6314.0,428.27504445761707,0.6395670045643324,1,proxy
IN-CHA-CHAMOLI__2026-04-08,IN-CHA-CHAMOLI,Uttarakhand,Chamoli,2026-04-08,30.42,79.32,164.0,459.0,923.0,1014.0,0.17768147345612134,10.0,0.6010669828097214,17,0.66,5,1820,41,0.35,0.3906935388263189,6724.0,554.7848251333728,0.6806846021721019,1,proxy
IN-CHA-CHAMOLI__2026-04-09,IN-CHA-CHAMOLI,Uttarakhand,Chamoli,2026-04-09,30.42,79.32,174.0,492.0,996.0,1188.0,0.1746987951807229,10.0,0.7042086544161233,17,0.66,5,1820,41,0.35,0.4577356253704802,7134.0,701.3918197984589,0.724033670749299,1,proxy
IN-CHA-CHAMOLI__2026-04-10,IN-CHA-CHAMOLI,Uttarakhand,Chamoli,2026-04-10,30.42,79.32,184.0,522.0,1069.0,1372.0,0.17212347988774557,10.0,0.8132780082987552,17,0.66,5,1820,41,0.35,0.5286307053941909,7544.0,869.3941908713693,0.7674817798361067,1,proxy
IN-CHI-CHIKKAMAGALURU__2026-04-01,IN-CHI-CHIKKAMAGALURU,Karnataka,Chikkamagaluru,2026-04-01,13.3161,75.772,76.0,76.0,76.0,76.0,1.0,76.0,0.045050385299347954,24,0.6,4,1090,32,0.44,0.025228215767634857,2432.0,3.4238292827504444,0.28707827972318184,0,proxy
IN-CHI-CHIKKAMAGALURU__2026-04-02,IN-CHI-CHIKKAMAGALURU,Karnataka,Chikkamagaluru,2026-04-02,13.3161,75.772,84.0,160.0,160.0,160.0,0.525,8.0,0.0948429164196799,24,0.6,4,1090,32,0.44,0.05311203319502075,2688.0,15.174866627148784,0.3069713528383767,0,proxy
IN-CHI-CHIKKAMAGALURU__2026-04-03,IN-CHI-CHIKKAMAGALURU,Karnataka,Chikkamagaluru,2026-04-03,13.3161,75.772,92.0,252.0,252.0,252.0,0.36507936507936506,8.0,0.14937759336099585,24,0.6,4,1090,32,0.44,0.08365145228215769,2944.0,37.643153526970956,0.3596933355510123,0,proxy
IN-CHI-CHIKKAMAGALURU__2026-04-04,IN-CHI-CHIKKAMAGALURU,Karnataka,Chikkamagaluru,2026-04-04,13.3161,75.772,100.0,276.0,352.0,352.0,0.2840909090909091,8.0,0.2086544161232958,24,0.6,4,1090,32,0.44,0.11684647302904566,3200.0,73.44635447540013,0.3946124867208733,1,proxy
IN-CHI-CHIKKAMAGALURU__2026-04-05,IN-CHI-CHIKKAMAGALURU,Karnataka,Chikkamagaluru,2026-04-05,13.3161,75.772,108.0,300.0,460.0,460.0,0.23478260869565218,8.0,0.2726733847065797,24,0.6,4,1090,32,0.44,0.15269709543568466,3456.0,125.42975696502667,0.43125033744843794,1,proxy
IN-CHI-CHIKKAMAGALURU__2026-04-06,IN-CHI-CHIKKAMAGALURU,Karnataka,Chikkamagaluru,2026-04-06,13.3161,75.772,116.0,324.0,576.0,576.0,0.2013888888888889,8.0,0.34143449911084767,24,0.6,4,1090,32,0.44,0.1912033195020747,3712.0,196.66627148784826,0.46960688773370624,1,proxy
IN-CHI-CHIKKAMAGALURU__2026-04-07,IN-CHI-CHIKKAMAGALURU,Karnataka,Chikkamagaluru,2026-04-07,13.3161,75.772,127.0,351.0,703.0,703.0,0.1806543385490754,11.0,0.4167160640189686,24,0.6,4,1090,32,0.44,0.23336099585062245,4064.0,292.9513930053349,0.5149136258251794,1,proxy
IN-CHI-CHIKKAMAGALURU__2026-04-08,IN-CHI-CHIKKAMAGALURU,Karnataka,Chikkamagaluru,2026-04-08,13.3161,75.772,135.0,378.0,762.0,838.0,0.17716535433070865,8.0,0.4967397747480735,24,0.6,4,1090,32,0.44,0.2781742738589212,4320.0,378.51570835803204,0.5475882989846086,1,proxy
IN-CHI-CHIKKAMAGALURU__2026-04-09,IN-CHI-CHIKKAMAGALURU,Karnataka,Chikkamagaluru,2026-04-09,13.3161,75.772,143.0,405.0,821.0,981.0,0.17417783191230207,8.0,0.5815056312981625,24,0.6,4,1090,32,0.44,0.325643153526971,4576.0,477.4161232957914,0.5822682427578042,1,proxy
IN-CHI-CHIKKAMAGALURU__2026-04-10,IN-CHI-CHIKKAMAGALURU,Karnataka,Chikkamagaluru,2026-04-10,13.3161,75.772,151.0,429.0,880.0,1132.0,0.1715909090909091,8.0,0.6710136336692353,24,0.6,4,1090,32,0.44,0.37576763485477177,4832.0,590.491997628927,0.6168210266849493,1,proxy
IN-CHM-CHAMBA__2026-04-01,IN-CHM-CHAMBA,Himachal Pradesh,Chamba,2026-04-01,32.5534,76.1258,31.0,31.0,31.0,31.0,1.0,31.0,0.018375815056312982,17,0.42,3,996,31,0.47,0.009739181979845881,961.0,0.5696502667457024,0.1946865259555412,0,proxy
IN-CHM-CHAMBA__2026-04-02,IN-CHM-CHAMBA,Himachal Pradesh,Chamba,2026-04-02,32.5534,76.1258,39.0,70.0,70.0,70.0,0.5571428571428572,8.0,0.04149377593360996,17,0.42,3,996,31,0.47,0.02199170124481328,1209.0,2.904564315352697,0.21100556727563527,0,proxy
IN-CHM-CHAMBA__2026-04-03,IN-CHM-CHAMBA,Himachal Pradesh,Chamba,2026-04-03,32.5534,76.1258,47.0,117.0,117.0,117.0,0.4017094017094017,8.0,0.06935388263189093,17,0.42,3,996,31,0.47,0.036757557794902196,1457.0,8.114404267931238,0.24107434043303033,0,proxy
IN-CHM-CHAMBA__2026-04-04,IN-CHM-CHAMBA,Himachal Pradesh,Chamba,2026-04-04,32.5534,76.1258,55.0,141.0,172.0,172.0,0.31976744186046513,8.0,0.1019561351511559,17,0.42,3,996,31,0.47,0.05403675163011263,1705.0,17.536455245998813,0.2662475611847617,0,proxy
IN-CHM-CHAMBA__2026-04-05,IN-CHM-CHAMBA,Himachal Pradesh,Chamba,2026-04-05,32.5534,76.1258,63.0,165.0,235.0,235.0,0.2680851063829787,8.0,0.13930053349140487,17,0.42,3,996,31,0.47,0.07382928275044458,1953.0,32.73562537048014,0.2931281003442264,0,proxy
IN-CHM-CHAMBA__2026-04-06,IN-CHM-CHAMBA,Himachal Pradesh,Chamba,2026-04-06,32.5534,76.1258,71.0,189.0,306.0,306.0,0.23202614379084968,8.0,0.1813870776526378,17,0.42,3,996,31,0.47,0.09613515115589805,2201.0,55.50444576170717,0.32171595791142454,0,proxy
IN-CHM-CHAMBA__2026-04-07,IN-CHM-CHAMBA,Himachal Pradesh,Chamba,2026-04-07,32.5534,76.1258,79.0,213.0,385.0,385.0,0.2051948051948052,8.0,0.22821576763485477,17,0.42,3,996,31,0.47,0.12095435684647303,2449.0,87.86307053941908,0.35201113388635585,0,proxy
IN-CHM-CHAMBA__2026-04-08,IN-CHM-CHAMBA,Himachal Pradesh,Chamba,2026-04-08,32.5534,76.1258,87.0,237.0,441.0,472.0,0.19727891156462585,8.0,0.2797866034380557,17,0.42,3,996,31,0.47,0.14828689982216955,2697.0,123.38589211618257,0.380198243653636,0,proxy
IN-CHM-CHAMBA__2026-04-09,IN-CHM-CHAMBA,Himachal Pradesh,Chamba,2026-04-09,32.5534,76.1258,95.0,261.0,497.0,567.0,0.19114688128772636,8.0,0.3360995850622407,17,0.42,3,996,31,0.47,0.17813278008298758,2945.0,167.04149377593362,0.40910805644403403,1,proxy
IN-CHM-CHAMBA__2026-04-10,IN-CHM-CHAMBA,Himachal Pradesh,Chamba,2026-04-10,32.5534,76.1258,103.0,285.0,553.0,670.0,0.18625678119349007,8.0,0.3971547125074096,17,0.42,3,996,31,0.47,0.2104919976289271,3193.0,219.6265560165975,0.4387405722575501,1,proxy
IN-CHP-CHAMPAWAT__2026-04-01,IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,2026-04-01,29.336,80.091,28.0,28.0,28.0,28.0,1.0,28.0,0.016597510373443983,18,0.44,3,1615,25,0.49,0.008464730290456432,700.0,0.46473029045643155,0.18058694909674716,0,proxy
IN-CHP-CHAMPAWAT__2026-04-02,IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,2026-04-02,29.336,80.091,33.0,61.0,61.0,61.0,0.5409836065573771,5.0,0.03615886188500297,18,0.44,3,1615,25,0.49,0.018441019561351513,825.0,2.205690574985181,0.19141716995579972,0,proxy
IN-CHP-CHAMPAWAT__2026-04-03,IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,2026-04-03,29.336,80.091,38.0,99.0,99.0,99.0,0.3838383838383838,5.0,0.05868405453467694,18,0.44,3,1615,25,0.49,0.02992886781268524,950.0,5.809721398933017,0.21449089208429362,0,proxy
IN-CHP-CHAMPAWAT__2026-04-04,IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,2026-04-04,29.336,80.091,43.0,114.0,142.0,142.0,0.3028169014084507,5.0,0.08417308832246592,18,0.44,3,1615,25,0.49,0.04292827504445762,1075.0,11.95257854179016,0.2320240752584028,0,proxy
IN-CHP-CHAMPAWAT__2026-04-05,IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,2026-04-05,29.336,80.091,48.0,129.0,190.0,190.0,0.25263157894736843,5.0,0.11262596324836989,18,0.44,3,1615,25,0.49,0.05743924125666865,1200.0,21.39893301719028,0.25061959029152425,0,proxy
IN-CHP-CHAMPAWAT__2026-04-06,IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,2026-04-06,29.336,80.091,53.0,144.0,243.0,243.0,0.21810699588477367,5.0,0.14404267931238884,18,0.44,3,1615,25,0.49,0.07346176644931832,1325.0,35.00237107291049,0.2702774371836581,0,proxy
IN-CHP-CHAMPAWAT__2026-04-07,IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,2026-04-07,29.336,80.091,58.0,159.0,301.0,301.0,0.19269102990033224,5.0,0.17842323651452283,18,0.44,3,1615,25,0.49,0.09099585062240664,1450.0,53.705394190871374,0.29099761593480433,0,proxy
IN-CHP-CHAMPAWAT__2026-04-08,IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,2026-04-08,29.336,80.091,63.0,174.0,336.0,364.0,0.1875,5.0,0.2157676348547718,18,0.44,3,1615,25,0.49,0.11004149377593361,1575.0,72.49792531120332,0.3093339726988091,0,proxy
IN-CHP-CHAMPAWAT__2026-04-09,IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,2026-04-09,29.336,80.091,68.0,189.0,371.0,432.0,0.18328840970350405,5.0,0.2560758743331357,18,0.44,3,1615,25,0.49,0.13059869590989923,1700.0,95.00414937759335,0.32811727670644153,0,proxy
IN-CHP-CHAMPAWAT__2026-04-10,IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,2026-04-10,29.336,80.091,73.0,204.0,406.0,505.0,0.17980295566502463,5.0,0.2993479549496147,18,0.44,3,1615,25,0.49,0.15266745702430348,1825.0,121.53526970954357,0.3473475279577017,0,proxy
IN-DAR-DARJEELING__2026-04-01,IN-DAR-DARJEELING,West Bengal,Darjeeling,2026-04-01,27.041,88.2663,22.0,22.0,22.0,22.0,1.0,22.0,0.013040901007705987,25,0.36,3,980,24,0.58,0.005477178423236515,528.0,0.28689982216953175,0.1522943045499525,0,proxy
IN-DAR-DARJEELING__2026-04-02,IN-DAR-DARJEELING,West Bengal,Darjeeling,2026-04-02,27.041,88.2663,28.0,50.0,50.0,50.0,0.56,6.0,0.02963841138114997,25,0.36,3,980,24,0.58,0.012448132780082988,672.0,1.4819205690574984,0.16429156828983635,0,proxy
IN-DAR-DARJEELING__2026-04-03,IN-DAR-DARJEELING,West Bengal,Darjeeling,2026-04-03,27.041,88.2663,34.0,84.0,84.0,84.0,0.40476190476190477,6.0,0.04979253112033195,25,0.36,3,980,24,0.58,0.02091286307053942,816.0,4.182572614107883,0.18604017172832843,0,proxy
IN-DAR-DARJEELING__2026-04-04,IN-DAR-DARJEELING,West Bengal,Darjeeling,2026-04-04,27.041,88.2663,40.0,102.0,124.0,124.0,0.3225806451612903,6.0,0.07350326022525193,25,0.36,3,980,24,0.58,0.030871369294605815,960.0,9.114404267931238,0.2044446643747953,0,proxy
IN-DAR-DARJEELING__2026-04-05,IN-DAR-DARJEELING,West Bengal,Darjeeling,2026-04-05,27.041,88.2663,46.0,120.0,170.0,170.0,0.27058823529411763,6.0,0.1007705986959099,25,0.36,3,980,24,0.58,0.04232365145228216,1104.0,17.131001778304682,0.22409834766464368,0,proxy
