region_id,state,district,latitude,longitude,rainfall_24h_mm,rainfall_7d_mm,soil_wetness_index,temperature_c,neighbor_risk_mean,neighbor_count,label,hazard_score,elevation_m,slope_deg,ndvi
IN-MAL-MALAPPURAM,Kerala,Malappuram,11.0732,76.074,0.0,2.35,0.07995916978564138,24.72666666666667,0.5,4,0,0.1760290873559145,54,17,0.57
IN-MAN-MANDI,Himachal Pradesh,Mandi,31.7081,76.9315,0.09,28.8,0.9799251446070092,10.04,0.5,4,1,0.5660291048469231,1044,26,0.5
IN-MAN-MANGAN,Sikkim,Mangan,27.5167,88.5333,0.0,0.54,0.01837359646138142,1.2,0.5,4,0,0.2669986163476758,1400,36,0.45
IN-NAI-NAINITAL,Uttarakhand,Nainital,29.3919,79.4542,0.0,27.63,0.9401156856073494,12.35,0.5,4,1,0.5552256848125355,2084,28,0.48
IN-NAM-NAMCHI,Sikkim,Namchi,27.1642,88.3639,0.0,0.04,0.0013610071452875127,12.663333333333334,0.5,4,0,0.2557540622644184,1675,34,0.47
IN-NGO-NORTHGOA,Goa,North Goa,15.4909,73.8278,0.0,0.0,0.0,26.48,0.5,4,0,0.15424390701162355,250,18,0.6
IN-NIL-NILGIRIS,Tamil Nadu,Nilgiris,11.4916,76.7337,0.0,2.36,0.08029942157196325,21.30666666666667,0.5,4,1,0.27113292444432874,2240,29,0.46
IN-PAL-PALAKKAD,Kerala,Palakkad,10.7867,76.6548,0.0,2.58,0.08778496087104458,22.22,0.5,4,0,0.20004347462266436,140,21,0.53
IN-PAP-PAPUMPARE,Arunachal Pradesh,Papum Pare,27.0844,93.6053,0.0,0.05,0.001701258931609391,15.98,0.5,4,0,0.2501777531211117,1200,34,0.44
IN-PAT-PATHANAMTHITTA,Kerala,Pathanamthitta,9.2648,76.787,0.0,0.7799999999999999,0.026539639333106494,23.896666666666665,0.5,4,0,0.1644707964583706,110,18,0.55
IN-PAU-PAURIGARHWAL,Uttarakhand,Pauri Garhwal,30.146,78.7812,0.0,20.729999999999997,0.7053419530452534,11.29,0.5,4,1,0.46310205331172666,1814,26,0.47
IN-PHE-PHEK,Nagaland,Phek,25.68,94.5,0.0,0.0,0.0,11.82,0.5,4,0,0.2299857142857143,1524,29,0.49
IN-PIT-PITHORAGARH,Uttarakhand,Pithoragarh,29.5829,80.2182,0.01,29.39,1.0,10.513333333333334,0.5,4,1,0.616738357705287,1650,37,0.38
IN-RAI-RAIGAD,Maharashtra,Raigad,18.5158,73.1822,0.01,0.87,0.0296019054100034,24.816666666666663,0.5,4,0,0.20357218439733138,570,24,0.52
IN-RAT-RATNAGIRI,Maharashtra,Ratnagiri,16.9902,73.312,0.0,0.23,0.007825791085403199,26.19333333333333,0.5,4,0,0.17778795307102435,350,22,0.57
IN-RUD-RUDRAPRAYAG,Uttarakhand,Rudraprayag,30.2844,78.9811,0.02,20.18,0.6866281047975502,6.343333333333334,0.5,4,1,0.4755781713042079,895,32,0.43
IN-SAT-SATARA,Maharashtra,Satara,17.6805,74.0183,0.0,0.0,0.0,23.793333333333333,0.5,4,0,0.18724334458192726,742,23,0.55
IN-SEN-SENAPATI,Manipur,Senapati,25.267,94.022,0.0,0.0,0.0,14.153333333333334,0.5,4,0,0.21740485564304463,1061,28,0.5
IN-SGH-SOUTHGAROHILLS,Meghalaya,South Garo Hills,25.289,90.568,0.0,0.0,0.0,17.790000000000003,0.5,4,0,0.19374900637420323,920,24,0.56
IN-SHI-SHIMLA,Himachal Pradesh,Shimla,31.1048,77.1734,0.03,25.51,0.8679823069071113,11.736666666666666,0.5,4,1,0.5827873626761269,2206,36,0.37
IN-TAW-TAWANG,Arunachal Pradesh,Tawang,27.5861,91.863,0.0,0.02,0.0006805035726437564,1.53,0.5,4,0,0.25731708550041316,3048,29,0.46
IN-TEH-TEHRIGARHWAL,Uttarakhand,Tehri Garhwal,30.3783,78.48,0.02,20.18,0.6866281047975502,6.343333333333334,0.5,4,1,0.48133720767466165,1550,31,0.44
IN-THR-THRISSUR,Kerala,Thrissur,10.5276,76.2144,0.0,2.09,0.07111262334127254,26.676666666666662,0.5,4,0,0.1432492330683911,20,11,0.62
IN-TVM-THIRUVANANTHAPURAM,Kerala,Thiruvananthapuram,8.5241,76.9366,0.0,0.14,0.004763525008506295,27.063333333333333,0.5,4,0,0.1270980386978678,64,12,0.6
IN-UDH-UDHAMSINGHNAGAR,Uttarakhand,Udham Singh Nagar,28.9617,79.515,0.03,24.53,0.8346376318475672,15.409999999999998,0.5,4,1,0.4008354749931522,230,8,0.63
IN-UTK-UTTARKASHI,Uttarakhand,Uttarkashi,30.729,78.443,0.02,20.18,0.6866281047975502,6.343333333333334,0.5,4,1,0.49414961862329304,1158,35,0.41
IN-WAY-WAYANAD,Kerala,Wayanad,11.6854,76.132,0.0,2.33,0.07927866621299762,23.26,0.5,4,1,0.268583055473799,890,33,0.42
IN-WJH-WESTJAINTIAHILLS,Meghalaya,West Jaintia Hills,25.444,92.197,0.0,0.0,0.0,13.803333333333333,0.5,4,0,0.22193779527559054,1380,28,0.51
IN-WKA-WESTKAMENG,Arunachal Pradesh,West Kameng,27.363,92.418,0.0,0.0,0.0,3.203333333333333,0.5,4,0,0.24444086989126357,1840,31,0.48
