region_id,state,district,latitude,longitude,rainfall_24h_mm,rainfall_7d_mm,slope_deg,elevation_m,soil_wetness_index,ndvi,temperature_c,neighbor_risk_mean,neighbor_count,label,date,hazard_score
IN-BAG-BAGESHWAR__2026-04-03,Uttarakhand,Bageshwar,29.8374,79.7714,58.0,148.0,27,1004,0.11384615384615385,0.46,17,0.46,4,0,2026-04-03,0.32313416049794
IN-BAG-BAGESHWAR__2026-04-04,Uttarakhand,Bageshwar,29.8374,79.7714,64.0,212.0,27,1004,0.16307692307692306,0.46,17,0.46,4,0,2026-04-04,0.34281787260429364
IN-BAG-BAGESHWAR__2026-04-05,Uttarakhand,Bageshwar,29.8374,79.7714,70.0,282.0,27,1004,0.2169230769230769,0.46,17,0.46,4,1,2026-04-05,0.3655246257735117
IN-BAG-BAGESHWAR__2026-04-06,Uttarakhand,Bageshwar,29.8374,79.7714,76.0,358.0,27,1004,0.2753846153846154,0.46,17,0.46,4,1,2026-04-06,0.39050954549343675
IN-BAG-BAGESHWAR__2026-04-07,Uttarakhand,Bageshwar,29.8374,79.7714,82.0,440.0,27,1004,0.3384615384615385,0.46,17,0.46,4,1,2026-04-07,0.4174640792278588
IN-BAG-BAGESHWAR__2026-04-08,Uttarakhand,Bageshwar,29.8374,79.7714,88.0,486.0,27,1004,0.37384615384615383,0.46,17,0.46,4,1,2026-04-08,0.43582855590344655
IN-BAG-BAGESHWAR__2026-04-09,Uttarakhand,Bageshwar,29.8374,79.7714,94.0,532.0,27,1004,0.40923076923076923,0.46,17,0.46,4,1,2026-04-09,0.4542296504986932
IN-BAG-BAGESHWAR__2026-04-10,Uttarakhand,Bageshwar,29.8374,79.7714,100.0,574.0,27,1004,0.44153846153846155,0.46,17,0.46,4,1,2026-04-10,0.4716606923708133
IN-CHA-CHAMOLI__2026-04-01,Uttarakhand,Chamoli,30.42,79.32,91.0,91.0,41,1820,0.07,0.35,17,0.66,5,1,2026-04-01,0.46631378464055623
IN-CHA-CHAMOLI__2026-04-02,Uttarakhand,Chamoli,30.42,79.32,101.0,192.0,41,1820,0.1476923076923077,0.35,17,0.66,5,1,2026-04-02,0.4846799268316985
IN-CHA-CHAMOLI__2026-04-03,Uttarakhand,Chamoli,30.42,79.32,111.0,303.0,41,1820,0.23307692307692307,0.35,17,0.66,5,1,2026-04-03,0.5182315856514266
IN-CHA-CHAMOLI__2026-04-04,Uttarakhand,Chamoli,30.42,79.32,121.0,424.0,41,1820,0.3261538461538461,0.35,17,0.66,5,1,2026-04-04,0.5575484593997593
IN-CHA-CHAMOLI__2026-04-05,Uttarakhand,Chamoli,30.42,79.32,131.0,555.0,41,1820,0.4269230769230769,0.35,17,0.66,5,1,2026-04-05,0.6007454358722075
IN-CHA-CHAMOLI__2026-04-06,Uttarakhand,Chamoli,30.42,79.32,141.0,696.0,41,1820,0.5353846153846153,0.35,17,0.66,5,1,2026-04-06,0.6471934566926422
IN-CHA-CHAMOLI__2026-04-07,Uttarakhand,Chamoli,30.42,79.32,154.0,850.0,41,1820,0.6538461538461539,0.35,17,0.66,5,1,2026-04-07,0.7007958084990508
IN-CHA-CHAMOLI__2026-04-08,Uttarakhand,Chamoli,30.42,79.32,164.0,923.0,41,1820,0.71,0.35,17,0.66,5,1,2026-04-08,0.7306574072151648
IN-CHA-CHAMOLI__2026-04-09,Uttarakhand,Chamoli,30.42,79.32,174.0,996.0,41,1820,0.7661538461538462,0.35,17,0.66,5,1,2026-04-09,0.7605394986855475
IN-CHA-CHAMOLI__2026-04-10,Uttarakhand,Chamoli,30.42,79.32,184.0,1069.0,41,1820,0.8223076923076923,0.35,17,0.66,5,1,2026-04-10,0.7904378846752269
IN-CHI-CHIKKAMAGALURU__2026-04-01,Karnataka,Chikkamagaluru,13.3161,75.772,76.0,76.0,32,1090,0.05846153846153846,0.44,24,0.6,4,1,2026-04-01,0.3825855640422569
IN-CHI-CHIKKAMAGALURU__2026-04-02,Karnataka,Chikkamagaluru,13.3161,75.772,84.0,160.0,32,1090,0.12307692307692308,0.44,24,0.6,4,1,2026-04-02,0.39428206753876044
IN-CHI-CHIKKAMAGALURU__2026-04-03,Karnataka,Chikkamagaluru,13.3161,75.772,92.0,252.0,32,1090,0.19384615384615383,0.44,24,0.6,4,1,2026-04-03,0.4206740533307462
IN-CHI-CHIKKAMAGALURU__2026-04-04,Karnataka,Chikkamagaluru,13.3161,75.772,100.0,352.0,32,1090,0.27076923076923076,0.44,24,0.6,4,1,2026-04-04,0.4523156339723268
IN-CHI-CHIKKAMAGALURU__2026-04-05,Karnataka,Chikkamagaluru,13.3161,75.772,108.0,460.0,32,1090,0.35384615384615387,0.44,24,0.6,4,1,2026-04-05,0.4873167285299431
IN-CHI-CHIKKAMAGALURU__2026-04-06,Karnataka,Chikkamagaluru,13.3161,75.772,116.0,576.0,32,1090,0.4430769230769231,0.44,24,0.6,4,1,2026-04-06,0.525046714003407
IN-CHI-CHIKKAMAGALURU__2026-04-07,Karnataka,Chikkamagaluru,13.3161,75.772,127.0,703.0,32,1090,0.5407692307692308,0.44,24,0.6,4,1,2026-04-07,0.5694327166051989
IN-CHI-CHIKKAMAGALURU__2026-04-08,Karnataka,Chikkamagaluru,13.3161,75.772,135.0,762.0,32,1090,0.5861538461538461,0.44,24,0.6,4,1,2026-04-08,0.5934511991945063
IN-CHI-CHIKKAMAGALURU__2026-04-09,Karnataka,Chikkamagaluru,13.3161,75.772,143.0,821.0,32,1090,0.6315384615384615,0.44,24,0.6,4,1,2026-04-09,0.617489740255812
IN-CHI-CHIKKAMAGALURU__2026-04-10,Karnataka,Chikkamagaluru,13.3161,75.772,151.0,880.0,32,1090,0.676923076923077,0.44,24,0.6,4,1,2026-04-10,0.6415443053009984
IN-CHM-CHAMBA__2026-04-01,Himachal Pradesh,Chamba,32.5534,76.1258,31.0,31.0,31,996,0.023846153846153847,0.47,17,0.42,3,0,2026-04-01,0.3008893161956154
IN-CHM-CHAMBA__2026-04-02,Himachal Pradesh,Chamba,32.5534,76.1258,39.0,70.0,31,996,0.05384615384615385,0.47,17,0.42,3,0,2026-04-02,0.3021023032086025
IN-CHM-CHAMBA__2026-04-03,Himachal Pradesh,Chamba,32.5534,76.1258,47.0,117.0,31,996,0.09,0.47,17,0.42,3,0,2026-04-03,0.3169045454108446
IN-CHM-CHAMBA__2026-04-04,Himachal Pradesh,Chamba,32.5534,76.1258,55.0,172.0,31,996,0.13230769230769232,0.47,17,0.42,3,0,2026-04-04,0.33673875512877527
IN-CHM-CHAMBA__2026-04-05,Himachal Pradesh,Chamba,32.5534,76.1258,63.0,235.0,31,996,0.18076923076923077,0.47,17,0.42,3,0,2026-04-05,0.3598756575138716
IN-CHM-CHAMBA__2026-04-06,Himachal Pradesh,Chamba,32.5534,76.1258,71.0,306.0,31,996,0.2353846153846154,0.47,17,0.42,3,1,2026-04-06,0.38572980250669
IN-CHM-CHAMBA__2026-04-07,Himachal Pradesh,Chamba,32.5534,76.1258,79.0,385.0,31,996,0.29615384615384616,0.47,17,0.42,3,1,2026-04-07,0.4140453601516594
IN-CHM-CHAMBA__2026-04-08,Himachal Pradesh,Chamba,32.5534,76.1258,87.0,441.0,31,996,0.3392307692307692,0.47,17,0.42,3,1,2026-04-08,0.43710215097987876
IN-CHM-CHAMBA__2026-04-09,Himachal Pradesh,Chamba,32.5534,76.1258,95.0,497.0,31,996,0.3823076923076923,0.47,17,0.42,3,1,2026-04-09,0.46023029634222945
IN-CHM-CHAMBA__2026-04-10,Himachal Pradesh,Chamba,32.5534,76.1258,103.0,553.0,31,996,0.42538461538461536,0.47,17,0.42,3,1,2026-04-10,0.4834081189118865
IN-CHP-CHAMPAWAT__2026-04-01,Uttarakhand,Champawat,29.336,80.091,28.0,28.0,25,1615,0.021538461538461538,0.49,18,0.44,3,0,2026-04-01,0.28330272719406574
IN-CHP-CHAMPAWAT__2026-04-02,Uttarakhand,Champawat,29.336,80.091,33.0,61.0,25,1615,0.04692307692307692,0.49,18,0.44,3,0,2026-04-02,0.27902738614167555
IN-CHP-CHAMPAWAT__2026-04-03,Uttarakhand,Champawat,29.336,80.091,38.0,99.0,25,1615,0.07615384615384616,0.49,18,0.44,3,0,2026-04-03,0.2881345842259228
IN-CHP-CHAMPAWAT__2026-04-04,Uttarakhand,Champawat,29.336,80.091,43.0,142.0,25,1615,0.10923076923076923,0.49,18,0.44,3,0,2026-04-04,0.3015944242294248
IN-CHP-CHAMPAWAT__2026-04-05,Uttarakhand,Champawat,29.336,80.091,48.0,190.0,25,1615,0.14615384615384616,0.49,18,0.44,3,0,2026-04-05,0.31759540293937305
IN-CHP-CHAMPAWAT__2026-04-06,Uttarakhand,Champawat,29.336,80.091,53.0,243.0,25,1615,0.18692307692307691,0.49,18,0.44,3,0,2026-04-06,0.33553050353295316
IN-CHP-CHAMPAWAT__2026-04-07,Uttarakhand,Champawat,29.336,80.091,58.0,301.0,25,1615,0.23153846153846153,0.49,18,0.44,3,0,2026-04-07,0.35513764111735174
IN-CHP-CHAMPAWAT__2026-04-08,Uttarakhand,Champawat,29.336,80.091,63.0,336.0,25,1615,0.25846153846153846,0.49,18,0.44,3,0,2026-04-08,0.3695383915297301
IN-CHP-CHAMPAWAT__2026-04-09,Uttarakhand,Champawat,29.336,80.091,68.0,371.0,25,1615,0.2853846153846154,0.49,18,0.44,3,1,2026-04-09,0.38397831952626194
IN-CHP-CHAMPAWAT__2026-04-10,Uttarakhand,Champawat,29.336,80.091,73.0,406.0,25,1615,0.3123076923076923,0.49,18,0.44,3,1,2026-04-10,0.3984472929731143
IN-DAR-DARJEELING__2026-04-01,West Bengal,Darjeeling,27.041,88.2663,22.0,22.0,24,980,0.016923076923076923,0.58,25,0.36,3,0,2026-04-01,0.2465023275936662
IN-DAR-DARJEELING__2026-04-02,West Bengal,Darjeeling,27.041,88.2663,28.0,50.0,24,980,0.038461538461538464,0.58,25,0.36,3,0,2026-04-02,0.24277085906219764
IN-DAR-DARJEELING__2026-04-03,West Bengal,Darjeeling,27.041,88.2663,34.0,84.0,24,980,0.06461538461538462,0.58,25,0.36,3,0,2026-04-03,0.2519990974904361
IN-DAR-DARJEELING__2026-04-04,West Bengal,Darjeeling,27.041,88.2663,40.0,124.0,24,980,0.09538461538461539,0.58,25,0.36,3,0,2026-04-04,0.26571884011340446
IN-DAR-DARJEELING__2026-04-05,West Bengal,Darjeeling,27.041,88.2663,46.0,170.0,24,980,0.13076923076923078,0.58,25,0.36,3,0,2026-04-05,0.2822153674949414
IN-DAR-DARJEELING__2026-04-06,West Bengal,Darjeeling,27.041,88.2663,52.0,222.0,24,980,0.17076923076923076,0.58,25,0.36,3,0,2026-04-06,0.3009066619980006
IN-DAR-DARJEELING__2026-04-07,West Bengal,Darjeeling,27.041,88.2663,58.0,280.0,24,980,0.2153846153846154,0.58,25,0.36,3,0,2026-04-07,0.3215376922290308
IN-DAR-DARJEELING__2026-04-08,West Bengal,Darjeeling,27.041,88.2663,64.0,322.0,24,980,0.24769230769230768,0.58,25,0.36,3,0,2026-04-08,0.3387323584323926
IN-DAR-DARJEELING__2026-04-09,West Bengal,Darjeeling,27.041,88.2663,70.0,364.0,24,980,0.28,0.58,25,0.36,3,1,2026-04-09,0.35600442549576405
IN-DAR-DARJEELING__2026-04-10,West Bengal,Darjeeling,27.041,88.2663,76.0,406.0,24,980,0.3123076923076923,0.58,25,0.36,3,1,2026-04-10,0.3733298724625903
IN-DEH-DEHRADUN__2026-04-01,Uttarakhand,Dehradun,30.3165,78.0322,16.0,16.0,18,640,0.012307692307692308,0.56,24,0.31,2,0,2026-04-01,0.2038804431788684
IN-DEH-DEHRADUN__2026-04-02,Uttarakhand,Dehradun,30.3165,78.0322,20.0,36.0,18,640,0.027692307692307693,0.56,24,0.31,2,0,2026-04-02,0.1956970709954962
IN-DEH-DEHRADUN__2026-04-03,Uttarakhand,Dehradun,30.3165,78.0322,24.0,60.0,18,640,0.046153846153846156,0.56,24,0.31,2,0,2026-04-03,0.2001154082138334
IN-DEH-DEHRADUN__2026-04-04,Uttarakhand,Dehradun,30.3165,78.0322,28.0,88.0,18,640,0.06769230769230769,0.56,24,0.31,2,0,2026-04-04,0.2085293942278194
IN-DEH-DEHRADUN__2026-04-05,Uttarakhand,Dehradun,30.3165,78.0322,32.0,120.0,18,640,0.09230769230769231,0.56,24,0.31,2,0,2026-04-05,0.21920165530008046
IN-DEH-DEHRADUN__2026-04-06,Uttarakhand,Dehradun,30.3165,78.0322,36.0,156.0,18,640,0.12,0.56,24,0.31,2,0,2026-04-06,0.23154477884320404
IN-DEH-DEHRADUN__2026-04-07,Uttarakhand,Dehradun,30.3165,78.0322,40.0,196.0,18,640,0.15076923076923077,0.56,24,0.31,2,0,2026-04-07,0.24530244974373205
IN-DEH-DEHRADUN__2026-04-08,Uttarakhand,Dehradun,30.3165,78.0322,44.0,224.0,18,640,0.1723076923076923,0.56,24,0.31,2,0,2026-04-08,0.25668304058146574
IN-DEH-DEHRADUN__2026-04-09,Uttarakhand,Dehradun,30.3165,78.0322,48.0,252.0,18,640,0.19384615384615383,0.56,24,0.31,2,0,2026-04-09,0.26813165863008387
IN-DEH-DEHRADUN__2026-04-10,Uttarakhand,Dehradun,30.3165,78.0322,52.0,280.0,18,640,0.2153846153846154,0.56,24,0.31,2,0,2026-04-10,0.27962789572632096
IN-DIM-DIMAHASAO__2026-04-01,Assam,Dima Hasao,25.2703,93.0176,28.0,28.0,27,686,0.021538461538461538,0.55,24,0.44,3,0,2026-04-01,0.2693867541906912
IN-DIM-DIMAHASAO__2026-04-02,Assam,Dima Hasao,25.2703,93.0176,35.0,63.0,27,686,0.04846153846153846,0.55,24,0.44,3,0,2026-04-02,0.2683991862031232
IN-DIM-DIMAHASAO__2026-04-03,Assam,Dima Hasao,25.2703,93.0176,42.0,105.0,27,686,0.08076923076923077,0.55,24,0.44,3,0,2026-04-03,0.28079794300188005
IN-DIM-DIMAHASAO__2026-04-04,Assam,Dima Hasao,25.2703,93.0176,49.0,154.0,27,686,0.11846153846153847,0.55,24,0.44,3,0,2026-04-04,0.297976963980901
IN-DIM-DIMAHASAO__2026-04-05,Assam,Dima Hasao,25.2703,93.0176,56.0,210.0,27,686,0.16153846153846155,0.55,24,0.44,3,0,2026-04-05,0.31819887540281244
IN-DIM-DIMAHASAO__2026-04-06,Assam,Dima Hasao,25.2703,93.0176,63.0,273.0,27,686,0.21,0.55,24,0.44,3,0,2026-04-06,0.3408762646802017
IN-DIM-DIMAHASAO__2026-04-07,Assam,Dima Hasao,25.2703,93.0176,70.0,343.0,27,686,0.26384615384615384,0.55,24,0.44,3,1,2026-04-07,0.36575281669961085
IN-DIM-DIMAHASAO__2026-04-08,Assam,Dima Hasao,25.2703,93.0176,77.0,392.0,27,686,0.30153846153846153,0.55,24,0.44,3,1,2026-04-08,0.3858984425023795
IN-DIM-DIMAHASAO__2026-04-09,Assam,Dima Hasao,25.2703,93.0176,84.0,441.0,27,686,0.3392307692307692,0.55,24,0.44,3,1,2026-04-09,0.4061120955160325
IN-DIM-DIMAHASAO__2026-04-10,Assam,Dima Hasao,25.2703,93.0176,91.0,490.0,27,686,0.3769230769230769,0.55,24,0.44,3,1,2026-04-10,0.42637336757730454
IN-DIN-DINDIGUL__2026-04-01,Tamil Nadu,Dindigul,10.3673,77.9803,50.0,50.0,27,1018,0.038461538461538464,0.49,24,0.48,4,0,2026-04-01,0.31267603341540345
IN-DIN-DINDIGUL__2026-04-02,Tamil Nadu,Dindigul,10.3673,77.9803,57.0,107.0,27,1018,0.0823076923076923,0.49,24,0.48,4,0,2026-04-02,0.3165285005744127
IN-DIN-DINDIGUL__2026-04-03,Tamil Nadu,Dindigul,10.3673,77.9803,68.0,175.0,27,1018,0.1346153846153846,0.49,24,0.48,4,0,2026-04-03,0.34054756188693197
IN-DIN-DINDIGUL__2026-04-04,Tamil Nadu,Dindigul,10.3673,77.9803,75.0,250.0,27,1018,0.19230769230769232,0.49,24,0.48,4,1,2026-04-04,0.36425645299582315
IN-DIN-DINDIGUL__2026-04-05,Tamil Nadu,Dindigul,10.3673,77.9803,82.0,332.0,27,1018,0.2553846153846154,0.49,24,0.48,4,1,2026-04-05,0.39121848855062974
IN-DIN-DINDIGUL__2026-04-06,Tamil Nadu,Dindigul,10.3673,77.9803,89.0,421.0,27,1018,0.32384615384615384,0.49,24,0.48,4,1,2026-04-06,0.4207083141987532
IN-DIN-DINDIGUL__2026-04-07,Tamil Nadu,Dindigul,10.3673,77.9803,96.0,517.0,27,1018,0.3976923076923077,0.49,24,0.48,4,1,2026-04-07,0.4524237792865537
IN-DIN-DINDIGUL__2026-04-08,Tamil Nadu,Dindigul,10.3673,77.9803,103.0,570.0,27,1018,0.43846153846153846,0.49,24,0.48,4,1,2026-04-08,0.47372228540902395
IN-DIN-DINDIGUL__2026-04-09,Tamil Nadu,Dindigul,10.3673,77.9803,110.0,623.0,27,1018,0.47923076923076924,0.49,24,0.48,4,1,2026-04-09,0.4950547176525148
IN-DIN-DINDIGUL__2026-04-10,Tamil Nadu,Dindigul,10.3673,77.9803,117.0,672.0,27,1018,0.5169230769230769,0.49,24,0.48,4,1,2026-04-10,0.5154081512975215
IN-EKH-EASTKHASIHILLS__2026-04-01,Meghalaya,East Khasi Hills,25.5788,91.8933,72.0,72.0,30,1496,0.055384615384615386,0.49,20,0.57,4,1,2026-04-01,0.3709964712452901
IN-EKH-EASTKHASIHILLS__2026-04-02,Meghalaya,East Khasi Hills,25.5788,91.8933,81.0,153.0,30,1496,0.1176923076923077,0.49,20,0.57,4,1,2026-04-02,0.38317573903632257
IN-EKH-EASTKHASIHILLS__2026-04-03,Meghalaya,East Khasi Hills,25.5788,91.8933,90.0,243.0,30,1496,0.18692307692307691,0.49,20,0.57,4,1,2026-04-03,0.41017072661954557
IN-EKH-EASTKHASIHILLS__2026-04-04,Meghalaya,East Khasi Hills,25.5788,91.8933,99.0,342.0,30,1496,0.2630769230769231,0.49,20,0.57,4,1,2026-04-04,0.44264534868364125
IN-EKH-EASTKHASIHILLS__2026-04-05,Meghalaya,East Khasi Hills,25.5788,91.8933,108.0,450.0,30,1496,0.34615384615384615,0.49,20,0.57,4,1,2026-04-05,0.4787307369795558
IN-EKH-EASTKHASIHILLS__2026-04-06,Meghalaya,East Khasi Hills,25.5788,91.8933,117.0,567.0,30,1496,0.43615384615384617,0.49,20,0.57,4,1,2026-04-06,0.517802887051706
IN-EKH-EASTKHASIHILLS__2026-04-07,Meghalaya,East Khasi Hills,25.5788,91.8933,129.0,696.0,30,1496,0.5353846153846153,0.49,20,0.57,4,1,2026-04-07,0.5637920825305566
IN-EKH-EASTKHASIHILLS__2026-04-08,Meghalaya,East Khasi Hills,25.5788,91.8933,138.0,762.0,30,1496,0.5861538461538461,0.49,20,0.57,4,1,2026-04-08,0.5907021041950176
IN-EKH-EASTKHASIHILLS__2026-04-09,Meghalaya,East Khasi Hills,25.5788,91.8933,147.0,828.0,30,1496,0.6369230769230769,0.49,20,0.57,4,1,2026-04-09,0.6176391792619113
IN-EKH-EASTKHASIHILLS__2026-04-10,Meghalaya,East Khasi Hills,25.5788,91.8933,156.0,894.0,30,1496,0.6876923076923077,0.49,20,0.57,4,1,2026-04-10,0.6445973160380812
IN-ERN-ERNAKULAM__2026-04-01,Kerala,Ernakulam,9.9816,76.2999,14.0,14.0,9,12,0.010769230769230769,0.66,29,0.26,2,0,2026-04-01,0.13974191477813525
IN-ERN-ERNAKULAM__2026-04-02,Kerala,Ernakulam,9.9816,76.2999,17.0,31.0,9,12,0.023846153846153847,0.66,29,0.26,2,0,2026-04-02,0.12939627976798412
IN-ERN-ERNAKULAM__2026-04-03,Kerala,Ernakulam,9.9816,76.2999,20.0,51.0,9,12,0.03923076923076923,0.66,29,0.26,2,0,2026-04-03,0.1316505669103168
IN-ERN-ERNAKULAM__2026-04-04,Kerala,Ernakulam,9.9816,76.2999,23.0,74.0,9,12,0.05692307692307692,0.66,29,0.26,2,0,2026-04-04,0.13768483672105722
IN-ERN-ERNAKULAM__2026-04-05,Kerala,Ernakulam,9.9816,76.2999,26.0,100.0,9,12,0.07692307692307693,0.66,29,0.26,2,0,2026-04-05,0.14572513156135203
IN-ERN-ERNAKULAM__2026-04-06,Kerala,Ernakulam,9.9816,76.2999,29.0,129.0,9,12,0.09923076923076923,0.66,29,0.26,2,0,2026-04-06,0.1551747222807102
IN-ERN-ERNAKULAM__2026-04-07,Kerala,Ernakulam,9.9816,76.2999,32.0,161.0,9,12,0.12384615384615384,0.66,29,0.26,2,0,2026-04-07,0.16577474281965895
IN-ERN-ERNAKULAM__2026-04-08,Kerala,Ernakulam,9.9816,76.2999,35.0,182.0,9,12,0.14,0.66,29,0.26,2,0,2026-04-08,0.17428177491799537
IN-ERN-ERNAKULAM__2026-04-09,Kerala,Ernakulam,9.9816,76.2999,38.0,203.0,9,12,0.15615384615384614,0.66,29,0.26,2,0,2026-04-09,0.1828421869197867
IN-ERN-ERNAKULAM__2026-04-10,Kerala,Ernakulam,9.9816,76.2999,41.0,224.0,9,12,0.1723076923076923,0.66,29,0.26,2,0,2026-04-10,0.1914409657271862
IN-GAN-GANGTOK__2026-04-01,Sikkim,Gangtok,27.3389,88.6065,70.0,70.0,42,1510,0.05384615384615385,0.4,19,0.61,4,1,2026-04-01,0.4290957381201475
