region_id,state,district,latitude,longitude,rainfall_24h_mm,rainfall_7d_mm,soil_wetness_index,temperature_c,neighbor_risk_mean,neighbor_count,label
IN-MAN-MANDI,Himachal Pradesh,Mandi,31.7081,76.9315,109,616,1.0,18,0.46,3,1
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,70,385,0.69,16,0.4,3,0
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,100,574,1.0,17,0.46,4,1
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,184,1069,1.0,17,0.66,5,1
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,73,406,0.72,18,0.44,3,0
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,52,280,0.5,24,0.31,2,0
IN-HAR-HARIDWAR,Uttarakhand,Haridwar,29.9457,78.1642,35,182,0.33,29,0.18,2,0
IN-PIT-PITHORAGARH,Uttarakhand,Pithoragarh,29.5829,80.2182,166,964,1.0,18,0.63,5,1
IN-PAU-PAURIGARHWAL,Uttarakhand,Pauri Garhwal,30.146,78.7812,72,399,0.71,18,0.43,3,0
IN-RUD-RUDRAPRAYAG,Uttarakhand,Rudraprayag,30.2844,78.9811,134,770,1.0,19,0.55,4,1
IN-TEH-TEHRIGARHWAL,Uttarakhand,Tehri Garhwal,30.3783,78.48,120,693,1.0,18,0.51,4,1
IN-UDH-UDHAMSINGHNAGAR,Uttarakhand,Udham Singh Nagar,28.9617,79.515,33,168,0.3,28,0.16,2,0
IN-UTK-UTTARKASHI,Uttarakhand,Uttarkashi,30.729,78.443,133,763,1.0,15,0.57,4,1
IN-NAI-NAINITAL,Uttarakhand,Nainital,29.3919,79.4542,86,476,0.85,17,0.47,4,0
IN-AIZ-AIZAWL,Mizoram,Aizawl,23.7271,92.7176,202,1216,1.0,22,0.69,5,1
IN-LUN-LUNGLEI,Mizoram,Lunglei,22.8671,92.765,162,936,1.0,24,0.58,4,1
IN-KOL-KOLASIB,Mizoram,Kolasib,24.2239,92.6787,111,630,1.0,25,0.46,3,1
IN-EKH-EASTKHASIHILLS,Meghalaya,East Khasi Hills,25.5788,91.8933,156,894,1.0,20,0.57,4,1
IN-WJH-WESTJAINTIAHILLS,Meghalaya,West Jaintia Hills,25.444,92.197,128,728,1.0,21,0.49,4,1
IN-SGH-SOUTHGAROHILLS,Meghalaya,South Garo Hills,25.289,90.568,81,441,0.79,26,0.42,3,0
IN-DIM-DIMAHASAO,Assam,Dima Hasao,25.2703,93.0176,91,490,0.88,24,0.44,3,0
IN-KAR-KARBIALONG,Assam,Karbi Anglong,25.845,93.431,77,413,0.74,27,0.39,3,0
IN-PAP-PAPUMPARE,Arunachal Pradesh,Papum Pare,27.0844,93.6053,141,819,1.0,21,0.55,4,1
IN-TAW-TAWANG,Arunachal Pradesh,Tawang,27.5861,91.863,63,336,0.6,8,0.43,3,0
IN-WKA-WESTKAMENG,Arunachal Pradesh,West Kameng,27.363,92.418,114,651,1.0,16,0.5,4,1
IN-KOH-KOHIMA,Nagaland,Kohima,25.6751,94.1086,79,427,0.76,20,0.4,3,0
IN-PHE-PHEK,Nagaland,Phek,25.68,94.5,109,616,1.0,19,0.46,3,1
IN-SEN-SENAPATI,Manipur,Senapati,25.267,94.022,84,462,0.82,21,0.44,3,0
