region_id,date,rainfall_mm
IN-DIN-DINDIGUL,2026-04-10,117
IN-RAI-RAIGAD,2026-04-01,45
IN-RAI-RAIGAD,2026-04-02,51
IN-RAI-RAIGAD,2026-04-03,61
IN-RAI-RAIGAD,2026-04-04,67
IN-RAI-RAIGAD,2026-04-05,73
IN-RAI-RAIGAD,2026-04-06,79
IN-RAI-RAIGAD,2026-04-07,85
IN-RAI-RAIGAD,2026-04-08,91
IN-RAI-RAIGAD,2026-04-09,97
IN-RAI-RAIGAD,2026-04-10,103
IN-RAT-RATNAGIRI,2026-04-01,40
IN-RAT-RATNAGIRI,2026-04-02,46
IN-RAT-RATNAGIRI,2026-04-03,56
IN-RAT-RATNAGIRI,2026-04-04,62
IN-RAT-RATNAGIRI,2026-04-05,68
IN-RAT-RATNAGIRI,2026-04-06,74
IN-RAT-RATNAGIRI,2026-04-07,80
IN-RAT-RATNAGIRI,2026-04-08,86
IN-RAT-RATNAGIRI,2026-04-09,92
IN-RAT-RATNAGIRI,2026-04-10,98
IN-SAT-SATARA,2026-04-01,38
IN-SAT-SATARA,2026-04-02,43
IN-SAT-SATARA,2026-04-03,52
IN-SAT-SATARA,2026-04-04,57
IN-SAT-SATARA,2026-04-05,62
IN-SAT-SATARA,2026-04-06,67
IN-SAT-SATARA,2026-04-07,72
IN-SAT-SATARA,2026-04-08,77
IN-SAT-SATARA,2026-04-09,82
IN-SAT-SATARA,2026-04-10,87
IN-NGO-NORTHGOA,2026-04-01,22
IN-NGO-NORTHGOA,2026-04-02,26
IN-NGO-NORTHGOA,2026-04-03,30
IN-NGO-NORTHGOA,2026-04-04,34
IN-NGO-NORTHGOA,2026-04-05,38
IN-NGO-NORTHGOA,2026-04-06,42
IN-NGO-NORTHGOA,2026-04-07,46
IN-NGO-NORTHGOA,2026-04-08,50
IN-NGO-NORTHGOA,2026-04-09,54
IN-NGO-NORTHGOA,2026-04-10,58
IN-DAR-DARJEELING,2026-04-01,22
IN-DAR-DARJEELING,2026-04-02,28
IN-DAR-DARJEELING,2026-04-03,34
IN-DAR-DARJEELING,2026-04-04,40
IN-DAR-DARJEELING,2026-04-05,46
IN-DAR-DARJEELING,2026-04-06,52
IN-DAR-DARJEELING,2026-04-07,58
IN-DAR-DARJEELING,2026-04-08,64
IN-DAR-DARJEELING,2026-04-09,70
IN-DAR-DARJEELING,2026-04-10,76
IN-KAL-KALIMPONG,2026-04-01,41
IN-KAL-KALIMPONG,2026-04-02,48
IN-KAL-KALIMPONG,2026-04-03,59
IN-KAL-KALIMPONG,2026-04-04,66
IN-KAL-KALIMPONG,2026-04-05,73
IN-KAL-KALIMPONG,2026-04-06,80
IN-KAL-KALIMPONG,2026-04-07,87
IN-KAL-KALIMPONG,2026-04-08,94
IN-KAL-KALIMPONG,2026-04-09,101
IN-KAL-KALIMPONG,2026-04-10,108
IN-GAN-GANGTOK,2026-04-01,70
IN-GAN-GANGTOK,2026-04-02,79
IN-GAN-GANGTOK,2026-04-03,88
IN-GAN-GANGTOK,2026-04-04,97
IN-GAN-GANGTOK,2026-04-05,106
IN-GAN-GANGTOK,2026-04-06,115
IN-GAN-GANGTOK,2026-04-07,127
IN-GAN-GANGTOK,2026-04-08,136
IN-GAN-GANGTOK,2026-04-09,145
IN-GAN-GANGTOK,2026-04-10,154
IN-NAM-NAMCHI,2026-04-01,54
IN-NAM-NAMCHI,2026-04-02,62
IN-NAM-NAMCHI,2026-04-03,74
IN-NAM-NAMCHI,2026-04-04,82
IN-NAM-NAMCHI,2026-04-05,90
IN-NAM-NAMCHI,2026-04-06,98
IN-NAM-NAMCHI,2026-04-07,106
IN-NAM-NAMCHI,2026-04-08,114
IN-NAM-NAMCHI,2026-04-09,122
IN-NAM-NAMCHI,2026-04-10,130
IN-MAN-MANGAN,2026-04-01,63
IN-MAN-MANGAN,2026-04-02,71
IN-MAN-MANGAN,2026-04-03,79
IN-MAN-MANGAN,2026-04-04,87
IN-MAN-MANGAN,2026-04-05,95
IN-MAN-MANGAN,2026-04-06,103
IN-MAN-MANGAN,2026-04-07,114
IN-MAN-MANGAN,2026-04-08,122
IN-MAN-MANGAN,2026-04-09,130
IN-MAN-MANGAN,2026-04-10,138
IN-SHI-SHIMLA,2026-04-01,83
IN-SHI-SHIMLA,2026-04-02,92
IN-SHI-SHIMLA,2026-04-03,101
IN-SHI-SHIMLA,2026-04-04,110
IN-SHI-SHIMLA,2026-04-05,119
IN-SHI-SHIMLA,2026-04-06,128
IN-SHI-SHIMLA,2026-04-07,140
IN-SHI-SHIMLA,2026-04-08,149
IN-SHI-SHIMLA,2026-04-09,158
IN-SHI-SHIMLA,2026-04-10,167
IN-KUL-KULLU,2026-04-01,54
IN-KUL-KULLU,2026-04-02,63
IN-KUL-KULLU,2026-04-03,76
IN-KUL-KULLU,2026-04-04,85
IN-KUL-KULLU,2026-04-05,94
IN-KUL-KULLU,2026-04-06,103
IN-KUL-KULLU,2026-04-07,112
IN-KUL-KULLU,2026-04-08,121
IN-KUL-KULLU,2026-04-09,130
IN-KUL-KULLU,2026-04-10,139
IN-CHM-CHAMBA,2026-04-01,31
IN-CHM-CHAMBA,2026-04-02,39
IN-CHM-CHAMBA,2026-04-03,47
IN-CHM-CHAMBA,2026-04-04,55
IN-CHM-CHAMBA,2026-04-05,63
IN-CHM-CHAMBA,2026-04-06,71
IN-CHM-CHAMBA,2026-04-07,79
IN-CHM-CHAMBA,2026-04-08,87
IN-CHM-CHAMBA,2026-04-09,95
IN-CHM-CHAMBA,2026-04-10,103
IN-KIN-KINNAUR,2026-04-01,69
IN-KIN-KINNAUR,2026-04-02,76
IN-KIN-KINNAUR,2026-04-03,83
IN-KIN-KINNAUR,2026-04-04,90
IN-KIN-KINNAUR,2026-04-05,97
IN-KIN-KINNAUR,2026-04-06,104
IN-KIN-KINNAUR,2026-04-07,114
IN-KIN-KINNAUR,2026-04-08,121
IN-KIN-KINNAUR,2026-04-09,128
IN-KIN-KINNAUR,2026-04-10,135
IN-MAN-MANDI,2026-04-01,42
IN-MAN-MANDI,2026-04-02,49
IN-MAN-MANDI,2026-04-03,60
IN-MAN-MANDI,2026-04-04,67
IN-MAN-MANDI,2026-04-05,74
IN-MAN-MANDI,2026-04-06,81
IN-MAN-MANDI,2026-04-07,88
IN-MAN-MANDI,2026-04-08,95
IN-MAN-MANDI,2026-04-09,102
IN-MAN-MANDI,2026-04-10,109
IN-ALM-ALMORA,2026-04-01,25
IN-ALM-ALMORA,2026-04-02,30
IN-ALM-ALMORA,2026-04-03,35
IN-ALM-ALMORA,2026-04-04,40
IN-ALM-ALMORA,2026-04-05,45
IN-ALM-ALMORA,2026-04-06,50
IN-ALM-ALMORA,2026-04-07,55
IN-ALM-ALMORA,2026-04-08,60
IN-ALM-ALMORA,2026-04-09,65
IN-ALM-ALMORA,2026-04-10,70
IN-BAG-BAGESHWAR,2026-04-01,42
IN-BAG-BAGESHWAR,2026-04-02,48
IN-BAG-BAGESHWAR,2026-04-03,58
IN-BAG-BAGESHWAR,2026-04-04,64
IN-BAG-BAGESHWAR,2026-04-05,70
IN-BAG-BAGESHWAR,2026-04-06,76
IN-BAG-BAGESHWAR,2026-04-07,82
IN-BAG-BAGESHWAR,2026-04-08,88
IN-BAG-BAGESHWAR,2026-04-09,94
IN-BAG-BAGESHWAR,2026-04-10,100
IN-CHA-CHAMOLI,2026-04-01,91
IN-CHA-CHAMOLI,2026-04-02,101
IN-CHA-CHAMOLI,2026-04-03,111
IN-CHA-CHAMOLI,2026-04-04,121
IN-CHA-CHAMOLI,2026-04-05,131
IN-CHA-CHAMOLI,2026-04-06,141
IN-CHA-CHAMOLI,2026-04-07,154
IN-CHA-CHAMOLI,2026-04-08,164
IN-CHA-CHAMOLI,2026-04-09,174
IN-CHA-CHAMOLI,2026-04-10,184
IN-CHP-CHAMPAWAT,2026-04-01,28
IN-CHP-CHAMPAWAT,2026-04-02,33
IN-CHP-CHAMPAWAT,2026-04-03,38
IN-CHP-CHAMPAWAT,2026-04-04,43
IN-CHP-CHAMPAWAT,2026-04-05,48
IN-CHP-CHAMPAWAT,2026-04-06,53
IN-CHP-CHAMPAWAT,2026-04-07,58
IN-CHP-CHAMPAWAT,2026-04-08,63
IN-CHP-CHAMPAWAT,2026-04-09,68
IN-CHP-CHAMPAWAT,2026-04-10,73
IN-DEH-DEHRADUN,2026-04-01,16
IN-DEH-DEHRADUN,2026-04-02,20
IN-DEH-DEHRADUN,2026-04-03,24
IN-DEH-DEHRADUN,2026-04-04,28
IN-DEH-DEHRADUN,2026-04-05,32
IN-DEH-DEHRADUN,2026-04-06,36
IN-DEH-DEHRADUN,2026-04-07,40
IN-DEH-DEHRADUN,2026-04-08,44
IN-DEH-DEHRADUN,2026-04-09,48
IN-DEH-DEHRADUN,2026-04-10,52
IN-HAR-HARIDWAR,2026-04-01,12
IN-HAR-HARIDWAR,2026-04-02,12
IN-HAR-HARIDWAR,2026-04-03,14
IN-HAR-HARIDWAR,2026-04-04,17
IN-HAR-HARIDWAR,2026-04-05,20
IN-HAR-HARIDWAR,2026-04-06,23
IN-HAR-HARIDWAR,2026-04-07,26
IN-HAR-HARIDWAR,2026-04-08,29
IN-HAR-HARIDWAR,2026-04-09,32
IN-HAR-HARIDWAR,2026-04-10,35
IN-PIT-PITHORAGARH,2026-04-01,82
IN-PIT-PITHORAGARH,2026-04-02,91
IN-PIT-PITHORAGARH,2026-04-03,100
IN-PIT-PITHORAGARH,2026-04-04,109
IN-PIT-PITHORAGARH,2026-04-05,118
IN-PIT-PITHORAGARH,2026-04-06,127
IN-PIT-PITHORAGARH,2026-04-07,139
IN-PIT-PITHORAGARH,2026-04-08,148
IN-PIT-PITHORAGARH,2026-04-09,157
IN-PIT-PITHORAGARH,2026-04-10,166
IN-PAU-PAURIGARHWAL,2026-04-01,27
IN-PAU-PAURIGARHWAL,2026-04-02,32
IN-PAU-PAURIGARHWAL,2026-04-03,37
IN-PAU-PAURIGARHWAL,2026-04-04,42
IN-PAU-PAURIGARHWAL,2026-04-05,47
IN-PAU-PAURIGARHWAL,2026-04-06,52
IN-PAU-PAURIGARHWAL,2026-04-07,57
IN-PAU-PAURIGARHWAL,2026-04-08,62
IN-PAU-PAURIGARHWAL,2026-04-09,67
IN-PAU-PAURIGARHWAL,2026-04-10,72
IN-RUD-RUDRAPRAYAG,2026-04-01,58
IN-RUD-RUDRAPRAYAG,2026-04-02,66
IN-RUD-RUDRAPRAYAG,2026-04-03,78
IN-RUD-RUDRAPRAYAG,2026-04-04,86
IN-RUD-RUDRAPRAYAG,2026-04-05,94
IN-RUD-RUDRAPRAYAG,2026-04-06,102
IN-RUD-RUDRAPRAYAG,2026-04-07,110
IN-RUD-RUDRAPRAYAG,2026-04-08,118
IN-RUD-RUDRAPRAYAG,2026-04-09,126
IN-RUD-RUDRAPRAYAG,2026-04-10,134
IN-TEH-TEHRIGARHWAL,2026-04-01,53
IN-TEH-TEHRIGARHWAL,2026-04-02,60
IN-TEH-TEHRIGARHWAL,2026-04-03,71
IN-TEH-TEHRIGARHWAL,2026-04-04,78
IN-TEH-TEHRIGARHWAL,2026-04-05,85
IN-TEH-TEHRIGARHWAL,2026-04-06,92
IN-TEH-TEHRIGARHWAL,2026-04-07,99
IN-TEH-TEHRIGARHWAL,2026-04-08,106
IN-TEH-TEHRIGARHWAL,2026-04-09,113
IN-TEH-TEHRIGARHWAL,2026-04-10,120
IN-UDH-UDHAMSINGHNAGAR,2026-04-01,12
IN-UDH-UDHAMSINGHNAGAR,2026-04-02,12
IN-UDH-UDHAMSINGHNAGAR,2026-04-03,12
IN-UDH-UDHAMSINGHNAGAR,2026-04-04,15
IN-UDH-UDHAMSINGHNAGAR,2026-04-05,18
IN-UDH-UDHAMSINGHNAGAR,2026-04-06,21
IN-UDH-UDHAMSINGHNAGAR,2026-04-07,24
IN-UDH-UDHAMSINGHNAGAR,2026-04-08,27
IN-UDH-UDHAMSINGHNAGAR,2026-04-09,30
IN-UDH-UDHAMSINGHNAGAR,2026-04-10,33
IN-UTK-UTTARKASHI,2026-04-01,57
IN-UTK-UTTARKASHI,2026-04-02,65
IN-UTK-UTTARKASHI,2026-04-03,77
IN-UTK-UTTARKASHI,2026-04-04,85
IN-UTK-UTTARKASHI,2026-04-05,93
IN-UTK-UTTARKASHI,2026-04-06,101
IN-UTK-UTTARKASHI,2026-04-07,109
IN-UTK-UTTARKASHI,2026-04-08,117
IN-UTK-UTTARKASHI,2026-04-09,125
IN-UTK-UTTARKASHI,2026-04-10,133
IN-NAI-NAINITAL,2026-04-01,32
IN-NAI-NAINITAL,2026-04-02,38
IN-NAI-NAINITAL,2026-04-03,44
IN-NAI-NAINITAL,2026-04-04,50
IN-NAI-NAINITAL,2026-04-05,56
IN-NAI-NAINITAL,2026-04-06,62
IN-NAI-NAINITAL,2026-04-07,68
IN-NAI-NAINITAL,2026-04-08,74
IN-NAI-NAINITAL,2026-04-09,80
IN-NAI-NAINITAL,2026-04-10,86
IN-AIZ-AIZAWL,2026-04-01,118
IN-AIZ-AIZAWL,2026-04-02,127
IN-AIZ-AIZAWL,2026-04-03,136
IN-AIZ-AIZAWL,2026-04-04,145
IN-AIZ-AIZAWL,2026-04-05,154
IN-AIZ-AIZAWL,2026-04-06,163
IN-AIZ-AIZAWL,2026-04-07,175
IN-AIZ-AIZAWL,2026-04-08,184
IN-AIZ-AIZAWL,2026-04-09,193
IN-AIZ-AIZAWL,2026-04-10,202
IN-LUN-LUNGLEI,2026-04-01,78
IN-LUN-LUNGLEI,2026-04-02,87
IN-LUN-LUNGLEI,2026-04-03,96
IN-LUN-LUNGLEI,2026-04-04,105
IN-LUN-LUNGLEI,2026-04-05,114
IN-LUN-LUNGLEI,2026-04-06,123
IN-LUN-LUNGLEI,2026-04-07,135
IN-LUN-LUNGLEI,2026-04-08,144
IN-LUN-LUNGLEI,2026-04-09,153
IN-LUN-LUNGLEI,2026-04-10,162
IN-KOL-KOLASIB,2026-04-01,44
IN-KOL-KOLASIB,2026-04-02,51
IN-KOL-KOLASIB,2026-04-03,62
IN-KOL-KOLASIB,2026-04-04,69
IN-KOL-KOLASIB,2026-04-05,76
IN-KOL-KOLASIB,2026-04-06,83
IN-KOL-KOLASIB,2026-04-07,90
IN-KOL-KOLASIB,2026-04-08,97
IN-KOL-KOLASIB,2026-04-09,104
IN-KOL-KOLASIB,2026-04-10,111
IN-EKH-EASTKHASIHILLS,2026-04-01,72
IN-EKH-EASTKHASIHILLS,2026-04-02,81
IN-EKH-EASTKHASIHILLS,2026-04-03,90
IN-EKH-EASTKHASIHILLS,2026-04-04,99
IN-EKH-EASTKHASIHILLS,2026-04-05,108
IN-EKH-EASTKHASIHILLS,2026-04-06,117
IN-EKH-EASTKHASIHILLS,2026-04-07,129
IN-EKH-EASTKHASIHILLS,2026-04-08,138
IN-EKH-EASTKHASIHILLS,2026-04-09,147
IN-EKH-EASTKHASIHILLS,2026-04-10,156
IN-WJH-WESTJAINTIAHILLS,2026-04-01,52
IN-WJH-WESTJAINTIAHILLS,2026-04-02,60
IN-WJH-WESTJAINTIAHILLS,2026-04-03,72
IN-WJH-WESTJAINTIAHILLS,2026-04-04,80
IN-WJH-WESTJAINTIAHILLS,2026-04-05,88
IN-WJH-WESTJAINTIAHILLS,2026-04-06,96
IN-WJH-WESTJAINTIAHILLS,2026-04-07,104
IN-WJH-WESTJAINTIAHILLS,2026-04-08,112
IN-WJH-WESTJAINTIAHILLS,2026-04-09,120
IN-WJH-WESTJAINTIAHILLS,2026-04-10,128
IN-SGH-SOUTHGAROHILLS,2026-04-01,27
IN-SGH-SOUTHGAROHILLS,2026-04-02,33
IN-SGH-SOUTHGAROHILLS,2026-04-03,39
IN-SGH-SOUTHGAROHILLS,2026-04-04,45
IN-SGH-SOUTHGAROHILLS,2026-04-05,51
IN-SGH-SOUTHGAROHILLS,2026-04-06,57
IN-SGH-SOUTHGAROHILLS,2026-04-07,63
IN-SGH-SOUTHGAROHILLS,2026-04-08,69
IN-SGH-SOUTHGAROHILLS,2026-04-09,75
IN-SGH-SOUTHGAROHILLS,2026-04-10,81
IN-DIM-DIMAHASAO,2026-04-01,28
IN-DIM-DIMAHASAO,2026-04-02,35
IN-DIM-DIMAHASAO,2026-04-03,42
IN-DIM-DIMAHASAO,2026-04-04,49
IN-DIM-DIMAHASAO,2026-04-05,56
IN-DIM-DIMAHASAO,2026-04-06,63
IN-DIM-DIMAHASAO,2026-04-07,70
IN-DIM-DIMAHASAO,2026-04-08,77
IN-DIM-DIMAHASAO,2026-04-09,84
IN-DIM-DIMAHASAO,2026-04-10,91
IN-KAR-KARBIALONG,2026-04-01,23
IN-KAR-KARBIALONG,2026-04-02,29
IN-KAR-KARBIALONG,2026-04-03,35
IN-KAR-KARBIALONG,2026-04-04,41
IN-KAR-KARBIALONG,2026-04-05,47
IN-KAR-KARBIALONG,2026-04-06,53
IN-KAR-KARBIALONG,2026-04-07,59
IN-KAR-KARBIALONG,2026-04-08,65
IN-KAR-KARBIALONG,2026-04-09,71
IN-KAR-KARBIALONG,2026-04-10,77
IN-PAP-PAPUMPARE,2026-04-01,65
IN-PAP-PAPUMPARE,2026-04-02,73
IN-PAP-PAPUMPARE,2026-04-03,85
IN-PAP-PAPUMPARE,2026-04-04,93
IN-PAP-PAPUMPARE,2026-04-05,101
IN-PAP-PAPUMPARE,2026-04-06,109
IN-PAP-PAPUMPARE,2026-04-07,117
IN-PAP-PAPUMPARE,2026-04-08,125
IN-PAP-PAPUMPARE,2026-04-09,133
IN-PAP-PAPUMPARE,2026-04-10,141
IN-TAW-TAWANG,2026-04-01,18
IN-TAW-TAWANG,2026-04-02,23
IN-TAW-TAWANG,2026-04-03,28
IN-TAW-TAWANG,2026-04-04,33
IN-TAW-TAWANG,2026-04-05,38
IN-TAW-TAWANG,2026-04-06,43
IN-TAW-TAWANG,2026-04-07,48
IN-TAW-TAWANG,2026-04-08,53
IN-TAW-TAWANG,2026-04-09,58
IN-TAW-TAWANG,2026-04-10,63
IN-WKA-WESTKAMENG,2026-04-01,47
IN-WKA-WESTKAMENG,2026-04-02,54
IN-WKA-WESTKAMENG,2026-04-03,65
IN-WKA-WESTKAMENG,2026-04-04,72
IN-WKA-WESTKAMENG,2026-04-05,79
IN-WKA-WESTKAMENG,2026-04-06,86
IN-WKA-WESTKAMENG,2026-04-07,93
IN-WKA-WESTKAMENG,2026-04-08,100
IN-WKA-WESTKAMENG,2026-04-09,107
IN-WKA-WESTKAMENG,2026-04-10,114
IN-KOH-KOHIMA,2026-04-01,25
IN-KOH-KOHIMA,2026-04-02,31
IN-KOH-KOHIMA,2026-04-03,37
IN-KOH-KOHIMA,2026-04-04,43
IN-KOH-KOHIMA,2026-04-05,49
IN-KOH-KOHIMA,2026-04-06,55
IN-KOH-KOHIMA,2026-04-07,61
IN-KOH-KOHIMA,2026-04-08,67
IN-KOH-KOHIMA,2026-04-09,73
